class,cbo,wmc,lcom
com.alibaba.druid.pool.ha.selector.RandomDataSourceSelector,9,65,329
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlShowCharacterSetStatement,5,7,0
com.alibaba.druid.mock.MockResultSet,2,14,10
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlShowEngineStatement$Option,0,0,0
com.alibaba.druid.bvt.pool.TestOracleWrap,7,4,0
com.alibaba.druid.bvt.sql.oceanbase.OceanbaseHintTest_Index2,4,1,0
com.alibaba.druid.sql.parser.OracleSqlCommentTest,1,4,6
com.alibaba.druid.bvt.filter.wall.sqlserver.SQLServerWallPermitFunctionTest,1,11,55
com.alibaba.druid.bvt.sql.oracle.OracleListAggTest,5,1,0
com.alibaba.druid.sql.dialect.mysql.parser.MySqlStatementParser,314,1581,8817
com.alibaba.druid.sql.dialect.snowflake.SnowflakeStatementParser,4,3,3
com.alibaba.druid.sql.dialect.presto.ast.stmt.PrestoDeallocatePrepareStatement,7,7,0
com.alibaba.druid.sql.ast.statement.SQLAlterTableSetOption,6,8,3
com.alibaba.druid.sql.dialect.odps.ast.OdpsObject,2,1,0
com.alibaba.druid.pool.ha.selector.NamedDataSourceSelectorTest,6,6,0
com.alibaba.druid.bvt.pool.DruidConnectionHolderTest3$MySQLException,0,0,0
com.alibaba.druid.bvt.filter.EncodingConvertFilterTest$MyResultSet,2,5,4
com.alibaba.druid.spring.boot.demo.configurer.Issue1796Configurer,3,1,0
com.alibaba.druid.sql.dialect.clickhouse.visitor.CKStatVisitor,7,5,3
com.alibaba.druid.bvt.sql.mysql.create.MySqlCreateServerTest,4,1,0
com.alibaba.druid.sql.ast.statement.SQLAlterTableDropSubpartition,4,7,3
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlShowWarningsStatement,4,6,2
com.alibaba.druid.bvt.sql.mysql.MySqlDeleteTest_5_force_partition,6,1,0
com.alibaba.druid.bvt.sql.postgresql.datatypes.BitsTest,3,1,0
com.alibaba.druid.bvt.pool.basic.TestDataSourceBasic2,4,3,1
